@RELATION mooc

@ATTRIBUTE have	integer
@ATTRIBUTE so	integer
@ATTRIBUTE class_	integer
@ATTRIBUTE asynchronous	integer
@ATTRIBUTE synchronous	integer
@ATTRIBUTE post	integer
@ATTRIBUTE think	integer
@ATTRIBUTE tool	integer
@ATTRIBUTE out	integer
@ATTRIBUTE school	integer
@ATTRIBUTE site	integer
@ATTRIBUTE course	integer
@ATTRIBUTE through	integer
@ATTRIBUTE make	integer
@ATTRIBUTE better	integer
@ATTRIBUTE even	integer
@ATTRIBUTE assistive	integer
@ATTRIBUTE this	integer
@ATTRIBUTE content	integer
@ATTRIBUTE read	integer
@ATTRIBUTE up	integer
@ATTRIBUTE might	integer
@ATTRIBUTE then	integer
@ATTRIBUTE set	integer
@ATTRIBUTE want	integer
@ATTRIBUTE same	integer
@ATTRIBUTE still	integer
@ATTRIBUTE subject	integer
@ATTRIBUTE edit	integer
@ATTRIBUTE needed	integer
@ATTRIBUTE dyslexia	integer
@ATTRIBUTE find	integer
@ATTRIBUTE case	integer
@ATTRIBUTE word	integer
@ATTRIBUTE time	integer
@ATTRIBUTE twitter	integer
@ATTRIBUTE source	integer
@ATTRIBUTE take	integer
@ATTRIBUTE over	integer
@ATTRIBUTE good	integer
@ATTRIBUTE class	{T,E,I,R}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,I
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,I
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,I
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,E
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I
1,2,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,I
0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,E
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,E
0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,I
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,I
0,2,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1,0,I
0,3,0,0,0,0,0,0,0,1,1,0,4,0,3,1,0,1,1,0,0,0,0,2,1,1,1,0,0,1,2,0,0,0,0,0,0,0,3,0,I
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,0,I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,0,2,0,I
0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,I
0,7,0,1,0,0,0,0,0,0,1,0,4,1,2,1,1,1,5,0,3,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,1,0,1,0,R
0,2,0,1,0,0,0,0,0,0,0,2,8,0,2,2,7,1,3,4,0,0,1,3,0,1,1,0,0,0,4,1,0,0,0,0,0,0,2,0,I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,I
0,6,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3,3,1,0,0,1,0,0,0,6,0,I
0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,E
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,I
0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,T
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,I
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,I
